SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
Holland Park West,582,267,50,130,42,1074
Woolloongabba,640,177,31,113,112,1076
Yeronga,845,290,58,174,99,1467
Eight Mile Plains,1229,592,84,562,82,2559
Macgregor (Qld),456,183,21,183,32,874
Mansfield (Qld),490,333,46,225,50,1145
Mount Gravatt,1227,622,130,372,140,2489
Rochedale - Burbank,436,280,33,188,25,968
Upper Mount Gravatt,739,302,71,267,80,1466
Wishart,678,400,74,281,56,1490
Coopers Plains,454,184,31,207,54,927
Moorooka,944,403,104,249,86,1791
Robertson,379,151,24,176,38,764
Salisbury - Nathan,558,305,62,149,59,1134
Tarragindi,740,468,102,206,63,1579
Algester,627,342,59,264,41,1339
Calamvale - Stretton,1702,909,131,881,183,3802
Pallara - Willawong,368,197,43,135,34,783
Parkinson - Drewvale,1176,703,115,472,71,2529
Rocklea - Acacia Ridge,625,269,47,345,97,1385
Kuraby,498,304,33,336,40,1209
Runcorn,1139,611,85,656,96,2596
Sunnybank,650,326,32,362,67,1429
Sunnybank Hills,1258,655,94,676,133,2809
Jindalee - Mount Ommaney,458,279,44,149,27,953
Middle Park - Jamboree Heights,443,280,50,189,20,983
Riverhills,346,181,22,105,25,677
Seventeen Mile Rocks - Sinnamon Park,591,406,65,203,30,1293
Westlake,192,153,25,77,5,456
Bellbowrie - Moggill,655,379,66,225,49,1370
Brookfield - Kenmore Hills,228,184,11,106,22,549
Chapel Hill,531,364,62,246,37,1239
Fig Tree Pocket,175,133,13,92,14,426
Kenmore,511,316,65,175,21,1087
Pinjarra Hills - Pullenvale,241,168,23,78,11,524
Chelmer - Graceville,438,289,48,150,27,957
Corinda,319,160,27,113,27,646
Indooroopilly,991,352,58,342,99,1837
Sherwood,443,214,43,119,55,870
St Lucia,942,205,31,213,101,1491
Taringa,975,241,52,190,70,1534
Enoggera,741,319,66,184,81,1395
Enoggera Reservoir,0,0,0,3,0,7
Keperra,457,278,57,192,34,1023
Mitchelton,677,390,80,226,46,1421
Mount Coot-tha,0,0,0,0,0,0
The Gap,875,617,99,301,86,1978
Upper Kedron - Ferny Grove,639,414,97,253,36,1439
Brisbane City,1275,264,52,305,197,2090
Fortitude Valley,1161,214,42,198,239,1853
Highgate Hill,637,228,27,126,92,1111
Kangaroo Point,1096,216,48,171,129,1663
New Farm,1674,345,86,225,323,2644
South Brisbane,952,247,40,198,132,1568
Spring Hill,831,196,31,198,137,1393
West End,1151,295,51,199,212,1912
Balmoral,363,173,32,96,56,722
Bulimba,655,217,46,176,100,1197
East Brisbane,688,198,36,118,89,1134
Hawthorne,423,226,40,132,26,851
Morningside - Seven Hills,1586,553,121,312,181,2750
Norman Park,609,268,69,116,73,1130
Albion,359,94,20,54,68,594
Alderley,601,247,52,106,51,1059
Ascot,412,146,35,111,39,745
Clayfield,1093,330,65,268,114,1871
Grange,316,200,24,84,26,648
Hamilton (Qld),643,179,38,145,133,1130
Hendra,305,150,36,98,31,618
Kelvin Grove - Herston,1107,238,66,250,157,1824
Newmarket,471,172,34,108,36,823
Newstead - Bowen Hills,1748,296,74,216,366,2700
Wilston,326,155,26,63,34,608
Windsor,824,294,56,159,68,1405
Wooloowin - Lutwyche,989,371,66,244,116,1789
Ashgrove,877,507,85,241,92,1802
Auchenflower,606,164,39,113,74,1004
Bardon,667,393,58,188,55,1362
Paddington - Milton,1292,373,99,211,117,2097
Red Hill (Qld),674,190,37,137,89,1129
Toowong,1226,335,71,236,143,2004
Brinsmead,372,215,35,119,44,785
Clifton Beach - Kewarra Beach,664,401,55,241,104,1471
Freshwater - Stratford,257,138,20,69,33,520
Redlynch,854,542,85,276,102,1855
Trinity Beach - Smithfield,1093,536,90,330,140,2202
Yorkeys Knob - Machans Beach,364,218,39,121,102,847
Bentley Park,579,323,45,273,92,1316
Cairns City,943,415,60,340,396,2153
Earlville - Bayview Heights,436,321,41,188,80,1068
Edmonton,659,420,58,367,117,1624
Gordonvale - Trinity,461,291,67,226,75,1118
Kanimbla - Mooroobool,611,362,69,264,122,1428
Lamb Range,0,0,0,0,0,0
Manoora,346,199,38,286,171,1038
Manunda,293,183,29,203,127,825
Mount Sheridan,547,322,63,221,59,1222
Westcourt - Bungalow,417,199,34,217,131,1005
White Rock,306,143,18,164,71,708
Whitfield - Edge Hill,517,308,35,164,70,1091
Woree,241,159,21,178,83,687
Babinda,164,125,17,100,34,440
Innisfail,333,264,37,310,136,1079
Johnstone,276,282,48,202,69,875
Tully,421,299,56,259,121,1151
Wooroonooran,0,0,0,0,0,0
Yarrabah,56,26,11,198,11,305
Daintree,290,207,30,139,108,777
Port Douglas,382,191,24,87,140,827
Atherton,406,345,53,284,72,1161
Herberton,124,117,16,172,73,500
Kuranda,185,119,29,126,38,492
Malanda - Yungaburra,277,229,41,189,47,787
Mareeba,479,338,51,311,138,1310
Balonne,201,185,23,107,41,548
Chinchilla,362,291,51,288,125,1113
Goondiwindi,352,249,36,137,84,866
Inglewood - Waggamba,152,145,20,112,35,467
Miles - Wandoan,197,136,19,98,63,504
Roma,508,245,50,152,124,1081
Roma Region,273,192,32,117,52,668
Tara,107,87,11,134,81,423
Crows Nest - Rosalie,268,230,43,248,63,841
Jondaryan,312,230,39,208,50,834
Millmerran,111,100,10,94,36,352
Pittsworth,221,185,29,118,35,585
Wambo,773,582,100,498,143,2093
Clifton - Greenmount,190,152,20,132,40,531
Southern Downs - East,143,127,29,81,26,401
Southern Downs - West,135,114,19,110,29,407
Stanthorpe,165,210,28,140,33,575
Stanthorpe Region,154,176,36,157,25,553
Warwick,589,463,70,446,82,1646
Central Highlands - East,365,253,53,322,117,1113
Central Highlands - West,326,303,67,228,117,1039
Emerald,783,601,103,450,247,2183
Berserker,350,199,43,235,61,892
Bouldercombe,89,57,6,49,11,214
Emu Park,170,179,18,164,45,573
Frenchville - Mount Archer,526,316,47,200,56,1146
Glenlee - Rockyview,225,178,28,59,24,515
Gracemere,706,451,69,438,108,1775
Lakes Creek,279,165,20,157,37,660
Mount Morgan,64,57,8,119,22,273
Norman Gardens,634,419,60,247,86,1435
Park Avenue,268,155,34,161,36,658
Parkhurst - Kawana,412,273,32,180,56,947
Rockhampton - West,339,169,35,172,41,763
Rockhampton City,148,78,13,104,32,374
Rockhampton Region - East,111,102,14,77,25,338
Rockhampton Region - North,158,129,18,92,34,439
Rockhampton Region - West,127,93,19,66,24,328
Shoalwater Bay,0,0,0,0,0,0
The Range - Allenstown,437,223,37,142,87,927
Yeppoon,865,628,99,398,142,2139
Banana,387,316,45,221,75,1042
Biloela,320,233,31,171,60,819
Agnes Water - Miriam Vale,147,169,27,163,53,564
Boyne Island - Tannum Sands,465,445,65,368,87,1420
Callemondah,0,0,0,0,0,0
Clinton - New Auckland,801,564,93,636,117,2214
Gladstone,293,177,14,249,103,833
Gladstone Hinterland,528,437,63,432,135,1589
Kin Kora - Sun Valley,194,161,21,141,22,538
South Trees,0,0,0,0,0,0
Telina - Toolooa,342,275,34,267,69,993
West Gladstone,228,142,23,191,64,638
Broadbeach Waters,451,279,43,149,60,985
Burleigh Heads,665,319,65,170,131,1351
Burleigh Waters,855,620,86,265,68,1891
Mermaid Beach - Broadbeach,1122,445,88,261,251,2166
Mermaid Waters,744,474,79,292,106,1705
Miami,650,326,67,149,91,1285
Coolangatta,360,168,25,111,88,758
Currumbin - Tugun,677,478,78,243,132,1609
Currumbin Waters,375,385,50,196,43,1047
Elanora,543,457,72,279,68,1408
Palm Beach,968,637,108,355,163,2233
Arundel,537,368,43,272,82,1301
Biggera Waters,576,283,47,257,128,1299
Coombabah,469,362,46,253,82,1214
Labrador,1038,646,90,586,237,2596
Paradise Point - Hollywell,440,291,39,177,56,1008
Runaway Bay,396,232,41,169,46,885
Guanaba - Springbrook,184,164,22,86,129,583
Tamborine - Canungra,528,504,96,281,122,1523
Currumbin Valley - Tallebudgera,263,287,32,147,43,783
Mudgeeraba - Bonogin,977,809,106,452,133,2478
Reedy Creek - Andrews,527,378,59,199,58,1231
Carrara,677,481,73,299,85,1613
Highland Park,456,346,50,206,55,1115
Nerang - Mount Nathan,1131,868,129,571,156,2843
Pacific Pines - Gaven,1226,890,119,590,174,2994
Worongary - Tallai,338,279,34,170,52,878
Coomera,922,575,83,549,169,2297
Helensvale,867,651,82,350,125,2077
Hope Island,545,316,46,219,117,1238
Jacobs Well - Alberton,174,123,22,78,17,412
Ormeau - Yatala,1296,904,144,592,182,3119
Oxenford - Maudsland,986,767,91,409,149,2404
Pimpama,660,383,69,413,190,1718
Upper Coomera - Willow Vale,2140,1521,230,1070,312,5277
Clear Island Waters,175,108,10,73,31,394
Merrimac,437,340,56,180,55,1070
Robina,1370,843,101,589,170,3074
Varsity Lakes,1128,650,88,462,159,2480
Ashmore,596,467,65,296,87,1506
Molendinar,381,241,42,176,45,881
Parkwood,456,290,34,203,60,1048
Southport - North,1085,470,79,464,227,2317
Southport - South,1112,566,70,490,174,2418
Benowa,404,282,12,194,69,958
Bundall,254,153,17,98,44,559
Main Beach,247,86,22,64,67,485
Surfers Paradise,1774,813,104,625,623,3937
Darra - Sumner,360,159,30,183,102,828
Durack,475,263,46,270,115,1164
Forest Lake - Doolandella,1997,1055,191,889,229,4372
Inala - Richlands,778,509,85,895,290,2560
Oxley (Qld),644,312,75,181,94,1321
Wacol,116,83,4,153,263,613
Boonah,465,382,59,300,95,1306
Esk,130,119,20,141,48,455
Lake Manchester - England Creek,0,0,0,0,0,0
Lockyer Valley - East,824,566,82,647,182,2300
Lowood,573,450,65,485,138,1706
Rosewood,497,357,58,305,81,1302
Brassall,662,366,67,381,84,1562
Bundamba,487,262,57,333,104,1233
Churchill - Yamanto,402,275,43,245,50,1011
Ipswich - Central,352,181,21,179,73,810
Ipswich - East,930,571,85,614,177,2382
Ipswich - North,292,155,18,95,26,587
Karalee - Barellan Point,328,205,40,106,24,703
Karana Downs,363,239,30,136,28,798
Leichhardt - One Mile,341,218,48,378,124,1102
North Ipswich - Tivoli,334,203,40,219,54,852
Raceview,938,562,101,524,98,2219
Ripley,390,192,43,131,60,809
Riverview,96,80,10,144,41,365
Bellbird Park - Brookwater,1128,643,112,415,128,2423
Camira - Gailes,532,301,46,281,77,1230
Carole Park,0,0,0,0,0,0
Collingwood Park - Redbank,510,286,36,339,65,1241
Goodna,603,319,53,499,169,1648
New Chum,0,0,0,0,0,0
Redbank Plains,1235,662,136,888,208,3130
Springfield,539,269,51,214,49,1126
Springfield Lakes,1618,750,144,557,132,3201
Beaudesert,531,431,45,449,118,1566
Beenleigh,391,241,46,338,93,1105
Eagleby,576,340,57,604,129,1702
Edens Landing - Holmview,499,285,49,320,67,1215
Mount Warren Park,345,182,33,172,49,781
Wolffdene - Bahrs Scrub,338,236,34,152,42,809
Boronia Heights - Park Ridge,630,371,61,433,91,1584
Browns Plains,447,255,43,324,87,1160
Chambers Flat - Logan Reserve,278,147,23,151,47,644
Crestmead,669,390,65,553,158,1836
Greenbank Military Camp,0,0,0,0,0,0
Hillcrest,466,314,53,261,44,1137
Marsden,753,457,79,679,241,2211
Munruben - Park Ridge South,223,135,27,107,23,511
Regents Park - Heritage Park,1001,563,109,553,116,2343
Greenbank,783,489,84,330,67,1756
Jimboomba,1603,996,206,717,223,3741
Logan Village,337,230,29,172,68,829
Bethania - Waterford,664,360,77,336,104,1549
Cornubia - Carbrook,508,283,45,152,49,1040
Loganholme - Tanah Merah,740,503,80,314,100,1737
Loganlea,568,331,56,421,152,1527
Shailer Park,747,441,68,278,62,1597
Waterford West,361,223,35,315,68,1001
Daisy Hill,461,270,44,179,35,980
Kingston (Qld.),403,220,45,508,168,1346
Logan Central,214,125,16,361,61,777
Rochedale South - Priestdale,1074,685,111,435,83,2389
Slacks Creek,582,280,63,472,101,1499
Springwood,602,332,61,259,89,1345
Underwood,453,288,54,250,48,1094
Woodridge,545,287,54,766,114,1764
Bowen,430,276,60,267,108,1142
Broadsound - Nebo,421,295,58,288,184,1244
Clermont,215,129,28,104,65,546
Collinsville,149,89,11,91,56,398
Moranbah,571,383,81,372,175,1592
Andergrove - Beaconsfield,865,567,101,492,104,2119
East Mackay,198,122,12,87,33,452
Eimeo - Rural View,783,560,94,438,127,1999
Eungella Hinterland,0,0,0,0,0,0
Mackay,201,126,17,134,78,558
Mackay Harbour,34,8,8,12,14,68
Mount Pleasant - Glenella,551,426,65,266,46,1356
North Mackay,314,194,23,189,54,767
Ooralea - Bakers Creek,280,190,27,144,52,705
Pioneer Valley,363,346,57,299,80,1147
Sarina,479,381,52,369,134,1420
Seaforth - Calen,260,250,42,199,73,825
Shoal Point - Bucasia,321,238,35,224,47,863
Slade Point,148,121,20,120,22,425
South Mackay,350,252,32,209,46,900
Walkerston - Eton,380,306,59,204,68,1015
West Mackay,336,181,35,161,60,777
Airlie - Whitsundays,1027,487,94,273,399,2284
Cape Conway,0,0,0,0,0,0
Proserpine,327,320,47,171,81,943
Beachmere - Sandstone Point,507,387,69,406,102,1470
Bribie Island,450,331,54,347,58,1238
Burpengary - East,198,137,25,89,18,467
Caboolture,1286,947,120,1047,274,3667
Caboolture - South,1002,724,106,998,202,3025
Elimbah,210,146,25,97,23,496
Morayfield - East,452,298,36,341,61,1201
Wamuran,191,154,22,70,36,471
Kilcoy,186,181,19,153,41,578
Woodford - D'Aguilar,281,215,52,180,82,810
Burpengary,689,535,70,388,98,1781
Deception Bay,960,674,94,812,199,2738
Morayfield,197,133,22,100,23,474
Narangba,1183,826,134,589,106,2829
Upper Caboolture,130,115,9,52,24,334
Clontarf,453,270,40,198,69,1031
Margate - Woody Point,576,366,79,380,68,1469
Redcliffe,442,285,44,260,91,1114
Rothwell - Kippa-Ring,800,550,72,560,104,2086
Scarborough - Newport - Moreton Island,538,340,50,231,88,1243
Albany Creek,847,595,89,295,52,1876
Cashmere,1328,875,147,468,62,2882
Dayboro,423,317,47,168,73,1031
Eatons Hill,469,365,39,165,28,1070
The Hills District,1606,1099,199,476,95,3472
Samford Valley,496,411,57,201,65,1232
Dakabin - Kallangur,1566,919,149,882,211,3730
Murrumba Downs - Griffin,1320,752,146,539,144,2906
North Lakes - Mango Hill,2262,1460,232,1093,261,5309
Bray Park,649,402,59,329,50,1496
Lawnton,395,221,32,172,51,863
Petrie,542,382,51,215,63,1257
Strathpine - Brendale,722,478,71,426,81,1783
Aurukun,20,23,0,130,9,182
Cape York,288,149,23,385,88,936
Croydon - Etheridge,56,26,5,32,24,139
Kowanyama - Pormpuraaw,53,44,0,165,7,274
Northern Peninsula,157,59,9,149,16,392
Tablelands,164,138,13,116,54,487
Torres,266,83,37,100,117,605
Torres Strait Islands,129,99,12,307,40,587
Weipa,327,134,42,106,60,674
Carpentaria,218,94,34,276,68,690
Mount Isa,1377,525,141,594,338,2972
Mount Isa Region,198,86,19,72,61,441
Northern Highlands,179,80,20,72,35,381
Barcaldine - Blackall,251,167,36,92,39,581
Charleville,256,124,33,92,44,546
Far Central West,123,51,15,41,30,256
Far South West,164,67,19,57,16,329
Longreach,242,98,38,57,46,479
Buderim - North,741,552,78,301,80,1755
Buderim - South,810,591,87,321,72,1876
Mountain Creek,710,581,65,321,69,1750
Sippy Downs,594,384,40,245,83,1346
Aroona - Currimundi,443,423,56,232,18,1176
Buddina - Minyama,303,231,16,135,29,715
Caloundra - Kings Beach,275,164,25,132,67,669
Caloundra - West,1078,945,97,519,117,2759
Golden Beach - Pelican Waters,396,340,47,226,51,1056
Moffat Beach - Battery Hill,347,285,37,176,30,881
Parrearra - Warana,459,364,45,225,63,1159
Wurtulla - Birtinya,391,361,44,185,60,1038
Coolum Beach,751,687,84,372,107,2006
Marcoola - Mudjimba,499,397,43,251,64,1252
Maroochydore - Kuluin,1140,685,90,419,165,2500
Mooloolaba - Alexandra Headland,708,403,55,239,155,1564
Noosa Heads,150,151,11,76,28,417
Noosaville,320,256,27,163,45,807
Sunshine Beach,305,261,22,140,53,775
Tewantin,359,357,35,196,44,982
Peregian Beach - Marcus Beach,170,133,13,69,23,412
Peregian Springs,384,380,30,218,92,1104
Beerwah,371,297,49,249,64,1024
Caloundra Hinterland,221,236,31,165,34,686
Glass House Mountains,264,217,37,136,30,683
Landsborough,398,430,60,283,82,1249
Maroochy Hinterland,179,165,19,138,37,532
Palmwoods,431,404,52,238,46,1169
Bli Bli,459,371,40,203,54,1128
Diddillibah - Rosemount,140,144,12,79,27,394
Eumundi - Yandina,383,413,46,269,71,1176
Nambour,882,805,108,581,132,2509
Noosa Hinterland,702,765,91,487,124,2171
Cambooya - Wyreema,351,300,45,176,62,928
Darling Heights,932,422,70,461,101,1988
Drayton - Harristown,517,344,48,289,95,1294
Gatton,440,264,48,235,84,1070
Gowrie (Qld),358,251,51,177,33,872
Highfields,597,542,67,248,54,1505
Lockyer Valley - West,458,397,56,300,94,1307
Middle Ridge,324,250,35,155,18,785
Newtown (Qld),577,314,44,289,89,1319
North Toowoomba - Harlaxton,306,187,39,166,58,748
Rangeville,427,290,41,183,50,988
Toowoomba - Central,800,448,67,356,114,1784
Toowoomba - East,569,292,38,199,79,1181
Toowoomba - West,711,553,76,340,83,1763
Wilsonton,559,431,60,438,99,1589
Ayr,364,322,42,209,56,998
Burdekin,269,269,35,161,33,779
Charters Towers,337,238,42,231,86,935
Dalrymple,176,103,21,83,53,430
Ingham,141,104,20,96,36,397
Ingham Region,177,202,25,105,45,547
Palm Island,54,43,7,202,7,315
Aitkenvale,329,139,18,130,46,664
Annandale,518,280,43,169,50,1060
Belgian Gardens - Pallarenda,191,102,12,45,35,380
Bohle Plains,589,301,50,192,52,1185
Condon - Rasmussen,577,321,59,383,81,1418
Cranbrook,328,185,29,148,49,733
Deeragun,1868,950,207,720,222,3969
Douglas,612,213,45,152,52,1070
Garbutt - West End,455,157,35,178,110,942
Gulliver - Currajong - Vincent,484,254,51,237,70,1093
Heatley,234,114,19,135,35,544
Hermit Park - Rosslea,413,174,25,137,61,805
Hyde Park - Pimlico,311,134,26,131,33,642
Kelso,611,332,53,403,114,1504
Kirwan - East,381,253,34,268,52,988
Kirwan - West,1093,601,88,388,115,2283
Magnetic Island,81,59,10,44,27,217
Mount Louisa,719,402,84,255,72,1533
Mundingburra,199,91,18,79,15,397
Northern Beaches,307,181,30,157,58,732
Oonoonba,539,291,54,141,46,1076
South Townsville - Railway Estate,372,146,26,136,89,772
Townsville - South,215,125,30,85,27,487
Townsville City - North Ward,778,220,58,172,163,1388
Wulguru - Roseneath,272,144,33,138,164,763
Ashfield - Kepnock,243,181,31,137,25,612
Bargara - Burnett Heads,741,492,69,363,70,1729
Branyan - Kensington,205,169,18,131,28,555
Bundaberg,286,168,38,247,71,814
Bundaberg East - Kalkie,283,204,25,166,38,718
Bundaberg North - Gooburrum,253,170,28,175,52,683
Bundaberg Region - North,283,230,23,239,87,868
Bundaberg Region - South,254,243,33,219,83,834
Millbank - Avoca,278,248,29,196,42,792
Svensson Heights - Norville,237,179,12,169,42,643
Walkervale - Avenell Heights,416,361,44,378,77,1273
Gayndah - Mundubbera,271,184,23,152,78,705
Gin Gin,132,95,19,165,41,451
Kingaroy,464,389,34,353,67,1301
Kingaroy Region - North,272,212,42,344,69,934
Kingaroy Region - South,144,133,15,102,30,419
Monto - Eidsvold,125,89,15,100,47,375
Nanango,202,219,29,323,65,835
North Burnett,0,0,0,0,0,0
Cooloola,125,129,13,148,33,444
Gympie - North,535,460,55,499,108,1666
Gympie - South,249,227,31,202,41,751
Gympie Region,556,577,61,546,140,1870
Kilkivan,102,89,25,105,35,356
Booral - River Heads,170,147,21,113,33,489
Craignish - Dundowran Beach,191,147,19,93,20,482
Pialba - Eli Waters,497,381,55,389,92,1408
Point Vernon,184,153,21,167,40,562
Torquay - Scarness - Kawungan,530,400,62,376,119,1485
Urangan - Wondunna,493,388,38,312,101,1335
Burrum - Fraser,257,221,39,285,76,882
Granville,105,73,9,101,25,318
Maryborough (Qld),588,452,66,586,134,1821
Maryborough Region - South,214,164,14,221,65,680
Tinana,207,181,22,162,30,604
Migratory - Offshore - Shipping (Qld),10,0,0,0,0,12
No Usual Address (Qld),391,214,56,519,342,1518
Adelaide,1549,363,69,338,239,2560
North Adelaide,546,142,25,125,75,923
Adelaide Hills,242,206,45,100,38,640
Aldgate - Stirling,740,729,102,253,70,1889
Hahndorf - Echunga,176,143,26,61,29,429
Lobethal - Woodside,346,336,59,176,29,953
Mount Barker,917,774,123,436,127,2378
Mount Barker Region,288,240,36,137,37,739
Nairne,307,248,58,122,34,771
Uraidla - Summertown,227,190,38,99,22,574
Burnside - Wattle Park,938,636,96,385,63,2109
Glenside - Beaumont,475,306,42,173,39,1033
Toorak Gardens,853,498,62,320,60,1794
Athelstone,459,360,54,168,22,1060
Paradise - Newton,1102,729,113,497,91,2534
Rostrevor - Magill,1315,821,162,528,90,2911
Norwood (SA),852,338,53,218,117,1580
Payneham - Felixstow,851,484,85,263,59,1745
St Peters - Marden,881,454,79,274,60,1747
Nailsworth - Broadview,479,257,30,126,37,928
Prospect,917,579,94,330,83,2017
Walkerville,390,215,36,130,44,814
Goodwood - Millswood,1291,673,128,341,114,2542
Unley - Parkside,1371,714,121,343,110,2655
Gawler - North,436,429,68,231,49,1203
Gawler - South,839,684,118,530,97,2273
Lewiston - Two Wells,250,214,27,143,42,683
Craigmore - Blakeview,982,775,127,664,112,2656
Davoren Park,765,649,93,1022,206,2731
Elizabeth,288,220,36,609,111,1262
Elizabeth East,498,427,62,509,103,1598
Munno Para West - Angle Vale,738,542,109,485,107,1981
One Tree Hill,81,75,11,30,9,206
Smithfield - Elizabeth North,352,362,53,690,116,1566
Virginia - Waterloo Corner,172,112,25,105,35,451
Enfield - Blair Athol,1440,857,140,900,216,3561
Northgate - Oakden - Gilles Plains,1689,1095,174,770,281,4010
Windsor Gardens,1573,956,185,686,167,3557
Dry Creek - North,0,0,0,0,0,0
Ingle Farm,767,572,89,422,71,1919
Para Hills,756,573,84,493,72,1977
Parafield,15,0,0,0,0,16
Parafield Gardens,884,624,114,674,99,2398
Paralowie,864,692,88,697,120,2458
Salisbury,802,508,76,801,124,2309
Salisbury East,809,624,97,568,101,2194
Salisbury North,927,648,104,829,139,2650
Mawson Lakes - Globe Derby Park,1175,618,113,479,109,2483
Pooraka - Cavan,436,267,52,285,58,1091
Golden Grove,525,424,60,191,32,1238
Greenwith,519,433,47,181,35,1210
Highbury - Dernancourt,544,396,68,190,39,1233
Hope Valley - Modbury,949,638,97,422,82,2188
Modbury Heights,1033,756,118,437,70,2410
Redwood Park,872,701,88,366,74,2105
St Agnes - Ridgehaven,692,491,76,247,48,1559
Brighton (SA),710,492,75,206,55,1534
Glenelg (SA),1271,641,116,321,154,2506
Edwardstown,1007,555,114,368,109,2161
Hallett Cove,655,488,92,258,38,1537
Marino - Seaview Downs,536,399,74,160,41,1202
Mitchell Park,1000,590,91,432,93,2209
Morphettville,949,606,117,330,98,2106
Sheidow Park - Trott Park,609,605,77,227,36,1556
Warradale,997,540,108,371,108,2122
Belair,183,149,28,54,11,425
Bellevue Heights,491,238,36,120,28,911
Blackwood,578,539,87,165,30,1400
Colonel Light Gardens,981,719,124,293,62,2179
Mitcham (SA),806,594,97,243,52,1792
Panorama,481,274,64,172,54,1049
Aberfoyle Park,574,472,82,243,24,1404
Aldinga,674,662,119,555,148,2158
Christie Downs,361,334,61,372,91,1216
Christies Beach,436,342,47,315,103,1236
Clarendon,91,92,17,34,5,232
Coromandel Valley,216,207,33,75,19,542
Flagstaff Hill,563,415,59,192,43,1263
Hackham - Onkaparinga Hills,277,256,27,167,13,741
Hackham West - Huntfield Heights,319,275,30,361,61,1046
Happy Valley,759,608,87,289,63,1806
Happy Valley Reservoir,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,3
McLaren Vale,228,218,27,91,28,591
Morphett Vale - East,639,540,101,425,77,1778
Morphett Vale - West,444,378,51,356,79,1308
Reynella,531,474,65,265,51,1385
Seaford (SA),1140,1022,166,666,153,3138
Willunga,119,135,20,55,20,341
Woodcroft,563,533,82,216,30,1417
Beverley,516,331,57,207,58,1176
Flinders Park,822,555,107,389,71,1954
Henley Beach,763,534,93,281,85,1750
Hindmarsh - Brompton,1416,657,138,386,137,2733
Royal Park - Hendon - Albert Park,371,222,49,175,39,854
Seaton - Grange,865,596,119,373,104,2056
West Lakes,662,408,80,287,70,1506
Woodville - Cheltenham,1099,607,107,523,101,2441
Dry Creek - South,0,0,0,0,0,0
Largs Bay - Semaphore,947,522,87,297,70,1930
North Haven,732,476,83,383,78,1755
Port Adelaide,616,386,61,312,73,1449
The Parks,1133,632,96,757,157,2771
Torrens Island,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0
Fulham,121,93,14,53,10,294
Lockleys,813,524,81,341,75,1829
Plympton,1877,958,161,604,163,3767
Richmond (SA),1428,664,107,430,151,2775
West Beach,276,213,28,101,20,640
