SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
St Ives,662,321,84,9,54,9,1187,2329
Turramurra,447,159,43,3,64,4,1215,1938
Wahroonga (East) - Warrawee,430,168,40,5,54,0,1100,1803
Cremorne - Cammeray,674,205,47,3,236,0,2623,3786
Crows Nest - Waverton,894,269,52,0,273,0,2758,4249
Mosman,751,201,47,0,282,3,2792,4089
Neutral Bay - Kirribilli,767,278,49,0,323,6,2624,4048
North Sydney - Lavender Bay,616,181,32,4,227,8,1232,2295
Balgowlah - Clontarf - Seaforth,361,91,15,0,106,6,1991,2576
Manly - Fairlight,767,181,33,0,338,7,3097,4425
Avalon - Palm Beach,88,13,3,0,53,0,969,1121
Bayview - Elanora Heights,99,14,7,0,56,0,841,1005
Newport - Bilgola,123,26,6,0,40,0,1236,1432
Warriewood - Mona Vale,345,121,12,0,138,4,2418,3038
Beacon Hill - Narraweena,309,89,21,4,64,0,1174,1659
Cromer,122,32,8,0,29,0,693,878
Dee Why - North Curl Curl,1016,549,139,12,262,9,2645,4632
Forestville - Killarney Heights,326,88,17,4,32,3,954,1428
Frenchs Forest - Belrose,441,101,12,9,50,4,2107,2723
Freshwater - Brookvale,543,142,43,3,234,10,2895,3863
Manly Vale - Allambie Heights,373,134,28,0,88,0,1774,2399
Narrabeen - Collaroy,464,118,30,0,180,7,2724,3515
Terrey Hills - Duffys Forest,31,11,0,0,23,0,292,351
Camden - Ellis Lane,92,11,0,0,43,0,1421,1565
Elderslie - Harrington Park,364,76,18,4,110,3,2573,3150
Mount Annan - Currans Hill,543,153,36,0,161,8,3891,4783
Bradbury - Wedderburn,379,134,50,3,130,3,2099,2793
Campbelltown - Woodbine,660,276,69,5,152,5,1524,2694
Claymore - Eagle Vale - Raby,568,177,46,4,164,14,1975,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,930,451,101,4,156,8,1312,2965
Leumeah - Minto Heights,431,183,51,3,101,12,1564,2356
Macquarie Fields - Glenfield,1225,668,136,8,193,20,1349,3600
Minto - St Andrews,874,502,98,11,112,18,1337,2954
Rosemeadow - Glen Alpine,522,181,52,4,167,3,1850,2779
Bargo,31,7,3,0,34,0,636,716
Douglas Park - Appin,72,9,3,0,49,0,1195,1330
Picton - Tahmoor - Buxton,102,24,6,0,113,3,1930,2181
The Oaks - Oakdale,81,21,5,0,44,0,978,1126
Blackheath - Megalong Valley,42,15,0,0,40,0,456,562
Blaxland - Warrimoo - Lapstone,124,36,3,0,64,0,2032,2259
Blue Mountains - North,0,0,0,0,0,0,0,0
Katoomba - Leura,107,60,11,6,100,0,1166,1442
Lawson - Hazelbrook - Linden,74,23,3,0,46,0,1175,1317
Springwood - Winmalee,133,22,9,5,53,0,2250,2467
Wentworth Falls,42,10,0,3,28,0,503,586
Blue Mountains - South,0,0,0,0,0,0,0,0
Cambridge Park,190,62,11,0,105,3,1955,2327
Castlereagh - Cranebrook,550,167,28,6,182,8,3011,3954
Emu Plains - Leonay,101,31,6,0,179,0,1696,2011
Glenmore Park - Regentville,398,107,16,0,110,0,2615,3253
Jamisontown - South Penrith,230,73,14,4,120,0,2104,2543
Kingswood - Werrington,649,276,46,4,163,8,2084,3227
Mulgoa - Luddenham - Orchard Hills,186,43,10,0,82,10,1046,1382
Penrith,287,129,37,0,133,6,1395,1981
Warragamba - Silverdale,29,11,0,0,27,0,584,653
Richmond - Clarendon,104,52,10,4,88,5,1529,1797
Windsor - Bligh Park,112,38,9,0,99,0,1897,2155
Yarramundi - Londonderry,62,10,0,0,220,0,639,942
Erskine Park,165,41,6,0,27,0,574,814
St Clair,509,147,42,3,127,3,2070,2902
Colyton - Oxley Park,366,123,42,0,109,0,1005,1657
St Marys - North St Marys,489,241,45,6,186,6,1404,2376
Homebush Bay - Silverwater,1410,808,243,4,600,6,1229,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0
Auburn - Central,944,745,463,71,121,17,180,2534
Auburn - North,680,607,308,49,104,7,99,1850
Auburn - South,474,306,186,30,41,12,145,1193
Berala,460,321,253,37,30,4,206,1307
Lidcombe,1252,916,524,55,164,19,453,3377
Regents Park,289,151,74,16,24,5,122,682
Carlingford,1282,877,295,18,100,3,1057,3636
Ermington - Rydalmere,897,522,189,16,129,3,1470,3236
Oatlands - Dundas Valley,830,562,205,8,117,11,962,2687
Chester Hill - Sefton,887,399,310,43,128,12,563,2353
Fairfield - East,758,446,314,66,145,5,371,2107
Granville - Clyde,1410,815,342,45,218,10,592,3435
Greystanes - Pemulwuy,1443,286,78,14,153,20,1877,3872
Guildford - South Granville,1422,539,285,48,231,18,539,3077
Guildford West - Merrylands West,1204,477,272,41,165,22,941,3123
Merrylands - Holroyd,1926,898,389,34,184,27,1128,4587
Smithfield Industrial,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0
North Parramatta,1701,807,202,13,361,8,1470,4560
North Rocks,270,123,46,0,15,0,497,963
Northmead,1932,761,145,6,304,20,1315,4489
Parramatta - Rosehill,3254,1915,419,39,588,52,953,7217
Toongabbie - Constitution Hill,1103,449,96,9,137,11,1329,3136
Winston Hills,340,85,33,0,21,0,1023,1497
Pendle Hill - Girraween,1046,486,98,0,96,12,382,2120
Wentworthville - Westmead,1462,688,120,13,110,21,429,2838
Epping - North Epping,1465,939,305,20,101,8,1098,3930
Pennant Hills - Cheltenham,660,281,48,4,53,0,1242,2293
Eastwood - Denistone,1206,1035,334,21,115,19,923,3661
Gladesville - Huntleys Point,479,169,25,0,122,0,1384,2180
Hunters Hill - Woolwich,198,38,21,0,58,0,746,1065
Macquarie Park - Marsfield,1552,994,162,16,169,5,1173,4070
North Ryde - East Ryde,537,197,33,3,39,3,784,1595
West Ryde - Meadowbank,1481,932,231,11,135,12,1223,4016
Putney,125,36,5,0,12,0,245,431
Ryde,1587,890,210,17,223,14,1761,4698
Ashcroft - Busby - Miller,696,313,235,37,196,26,708,2210
Austral - Greendale,247,60,46,10,80,4,581,1024
Cobbitty - Leppington,729,160,50,7,193,6,1993,3141
Badgerys Creek,0,0,0,0,3,0,0,6
Cecil Hills,437,107,40,3,41,6,277,913
Green Valley,777,287,182,30,56,11,368,1721
Hinchinbrook,821,253,135,18,54,10,513,1810
Hoxton Park - Carnes Hill - Horningsea Park,850,256,90,9,66,9,635,1921
West Hoxton - Middleton Grange,1087,265,75,7,113,12,1018,2576
Bonnyrigg Heights - Bonnyrigg,866,437,322,34,69,12,405,2139
Bossley Park - Abbotsbury,878,333,192,43,53,9,786,2286
Cabramatta - Lansvale,904,943,1113,162,152,22,329,3632
Cabramatta West - Mount Pritchard,806,451,401,44,116,14,488,2324
Canley Vale - Canley Heights,950,699,733,111,125,20,335,2971
Edensor Park,516,225,111,19,31,6,326,1240
Fairfield,815,646,507,140,104,28,338,2583
Fairfield - West,882,635,494,82,90,16,440,2634
Greenfield Park - Prairiewood,456,184,126,18,27,3,227,1038
Horsley Park - Kemps Creek,141,22,19,3,30,0,270,482
Smithfield - Wetherill Park,861,378,249,53,87,8,723,2372
St Johns Park - Wakeley,580,280,196,14,40,10,274,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0
Casula,931,305,108,17,123,5,753,2249
Chipping Norton - Moorebank,954,265,88,5,113,3,1384,2815
Holsworthy - Wattle Grove,833,252,49,0,114,5,2001,3259
Liverpool,1562,1028,485,107,538,24,695,4436
Lurnea - Cartwright,537,286,155,25,119,16,445,1590
Prestons - Edmondson Park,1281,399,101,12,99,17,927,2836
Warwick Farm,367,198,80,6,139,3,190,989
Gymea - Grays Point,208,52,13,0,65,0,1893,2233
Miranda - Yowie Bay,431,175,39,0,112,6,1727,2492
Sylvania - Taren Point,504,115,31,0,87,3,1060,1801
Caringbah,234,92,23,0,110,6,1470,1941
Caringbah South,98,18,0,0,34,0,1184,1339
Cronulla - Kurnell - Bundeena,347,87,18,0,296,3,2989,3745
Lilli Pilli - Port Hacking - Dolans Bay,27,4,0,0,9,0,274,310
Woolaware - Burraneer,89,11,5,0,30,0,768,909
Heathcote - Waterfall,41,7,0,0,14,0,693,758
Illawong - Alfords Point,263,53,13,0,23,4,763,1125
Menai - Lucas Heights - Woronora,355,70,20,6,68,6,1973,2488
Oyster Bay - Como - Jannali,295,86,26,0,78,0,2209,2697
Royal National Park,0,0,0,0,5,0,3,8
Sutherland - Kirrawee,485,209,31,3,141,6,2561,3440
Engadine,132,36,5,0,36,0,2151,2368
Loftus - Yarrawarrah,45,12,0,0,24,0,841,925
Woronora Heights,20,5,0,0,9,0,356,390
Migratory - Offshore - Shipping (NSW),5,4,0,0,3,0,28,34
No Usual Address (NSW),217,142,48,5,449,0,863,1716
Alfredton,170,61,12,0,50,0,1330,1626
Ballarat,111,52,6,0,70,0,1214,1456
Ballarat - North,137,41,12,0,158,0,2664,3018
Ballarat - South,173,91,23,0,199,0,2836,3323
Buninyong,23,13,3,0,47,0,700,783
Delacombe,29,24,0,0,43,0,853,945
Smythes Creek,10,3,0,0,19,0,405,441
Wendouree - Miners Rest,72,40,8,4,108,0,1629,1859
Bacchus Marsh Region,20,5,0,0,47,0,612,685
Creswick - Clunes,25,10,0,0,59,0,676,769
Daylesford,44,13,0,0,64,0,751,878
Gordon (Vic.),16,3,0,0,42,0,536,602
Avoca,4,0,0,0,25,0,254,282
Beaufort,9,3,6,0,29,0,323,376
Golden Plains - North,7,3,0,0,26,0,450,492
Maryborough (Vic.),33,9,0,0,35,0,651,737
Maryborough Region,14,3,0,0,22,0,397,433
Bendigo,127,66,23,3,142,3,1561,1916
California Gully - Eaglehawk,40,13,8,4,120,0,1334,1515
East Bendigo - Kennington,93,39,28,8,52,0,1227,1450
Flora Hill - Spring Gully,61,25,16,6,65,0,1028,1207
Kangaroo Flat - Golden Square,110,80,35,9,171,3,2196,2601
Maiden Gully,13,3,0,0,25,0,664,711
Strathfieldsaye,37,13,4,0,33,0,1043,1124
White Hills - Ascot,79,33,7,4,96,0,1568,1790
Bendigo Region - South,9,9,0,0,58,0,789,859
Castlemaine,36,22,16,3,88,0,866,1044
Castlemaine Region,33,11,0,0,64,0,628,743
Heathcote,15,4,4,0,28,0,337,392
Kyneton,53,29,13,0,70,0,909,1069
Woodend,33,4,3,0,66,0,683,790
Bendigo Region - North,6,3,0,0,18,0,404,435
Loddon,21,7,4,0,62,0,483,573
Bannockburn,35,8,0,0,35,0,835,912
Golden Plains - South,16,6,0,0,33,0,773,834
Winchelsea,15,10,0,0,41,0,560,619
Belmont,143,83,15,3,87,0,1649,1983
Corio - Norlane,316,159,153,52,204,6,2411,3304
Geelong,195,86,19,0,100,0,1416,1826
Geelong West - Hamlyn Heights,248,120,26,4,145,3,2455,3001
Grovedale,226,127,14,0,140,0,2727,3238
Highton,274,132,24,0,88,0,2074,2592
Lara,170,55,11,0,105,0,2057,2410
Leopold,84,36,0,0,44,0,1599,1762
Newcomb - Moolap,111,54,9,0,87,3,1414,1680
Newtown (Vic.),106,32,7,0,72,5,1056,1277
North Geelong - Bell Park,331,111,24,9,99,4,1271,1857
Clifton Springs,50,19,0,4,61,0,1322,1456
Lorne - Anglesea,38,7,0,0,36,0,392,468
Ocean Grove - Barwon Heads,111,36,3,0,135,0,2778,3065
Portarlington,21,7,5,0,44,0,472,546
Point Lonsdale - Queenscliff,15,4,0,4,17,0,245,285
Torquay,122,25,4,0,105,0,2299,2566
Alexandra,15,10,0,0,38,0,517,583
Euroa,17,8,5,0,26,0,474,531
Kilmore - Broadford,70,30,3,0,92,0,1469,1660
Mansfield (Vic.),36,16,16,0,79,0,744,884
Nagambie,22,13,5,0,37,0,337,410
Seymour,16,29,3,0,65,0,541,666
Seymour Region,23,3,0,0,45,0,464,533
Upper Yarra Valley,0,0,0,0,5,0,17,21
Yea,13,5,0,0,32,0,269,320
Benalla,25,26,0,0,66,3,878,1003
Benalla Region,8,0,0,0,27,0,296,332
Rutherglen,9,6,0,0,15,0,373,411
Wangaratta,102,34,9,0,98,0,1900,2152
Wangaratta Region,28,9,0,0,58,0,861,957
Beechworth,18,9,0,0,33,0,391,446
Bright - Mount Beauty,43,22,15,0,110,0,735,920
Chiltern - Indigo Valley,7,0,0,0,25,0,299,331
Myrtleford,34,8,5,0,23,0,345,408
Towong,16,5,0,0,42,0,459,519
West Wodonga,80,38,14,0,102,0,1796,2025
Wodonga,192,113,26,5,200,0,2762,3291
Yackandandah,9,8,0,0,18,0,426,456
Drouin,66,17,7,0,119,0,1771,1979
Mount Baw Baw Region,15,10,0,0,37,0,504,564
Trafalgar (Vic.),24,8,5,0,50,0,830,919
Warragul,105,56,20,0,116,0,1871,2165
Alps - East,0,0,0,0,0,0,0,0
Bairnsdale,66,46,19,0,137,0,1345,1608
Bruthen - Omeo,26,8,3,0,56,0,678,772
Lake King,0,0,0,0,0,0,0,0
Lakes Entrance,35,6,10,0,75,0,745,872
Orbost,21,0,0,0,33,0,465,514
Paynesville,16,10,0,0,17,0,421,468
Foster,28,8,0,0,65,0,649,756
French Island,0,3,0,0,0,0,10,12
Korumburra,19,14,6,0,56,0,886,978
Leongatha,50,19,3,5,69,0,1031,1168
Phillip Island,53,25,5,0,65,0,917,1058
Wilsons Promontory,0,0,0,0,0,0,4,4
Wonthaggi - Inverloch,95,39,18,0,140,0,1902,2192
Churchill,34,22,0,0,89,0,1142,1291
Moe - Newborough,78,43,15,0,115,0,1623,1881
Morwell,75,48,18,0,158,4,1310,1612
Traralgon,202,98,25,0,238,4,3100,3660
Yallourn North - Glengarry,8,4,0,0,35,0,503,550
Alps - West,0,0,0,0,0,0,0,0
Longford - Loch Sport,4,0,0,0,40,0,317,365
Maffra,40,16,14,0,95,0,1413,1570
Rosedale,9,5,0,0,30,0,421,478
Sale,107,64,22,4,113,0,1558,1869
Yarram,14,0,4,0,38,0,409,466
Brunswick,960,326,51,0,362,8,4338,6053
Brunswick East,446,138,28,0,166,3,2031,2812
Brunswick West,571,231,48,6,177,9,1841,2878
Coburg,1065,310,81,7,207,7,3097,4771
Pascoe Vale South,324,63,15,0,76,0,937,1417
Alphington - Fairfield,234,70,8,0,93,3,1121,1537
Northcote,683,158,34,4,298,10,3761,4950
Thornbury,681,180,41,0,254,4,2689,3855
Ascot Vale,484,223,82,10,191,9,1755,2758
Essendon - Aberfeldie,939,332,52,0,287,9,2733,4352
Flemington,465,320,100,3,175,3,1038,2111
Moonee Ponds,491,170,39,3,126,3,1582,2410
Carlton,830,615,148,13,292,8,1293,3198
Docklands,912,585,126,5,308,9,708,2659
East Melbourne,144,52,4,0,139,4,774,1110
Flemington Racecourse,5,4,0,0,12,0,8,30
Kensington (Vic.),440,173,38,0,188,10,1806,2655
Melbourne,2340,2507,807,52,929,30,1635,8305
North Melbourne,996,628,197,12,457,12,2115,4416
Parkville,298,126,11,3,94,0,597,1126
South Yarra - West,229,65,18,0,128,0,829,1269
Southbank,1437,851,188,13,573,11,1825,4901
West Melbourne,0,0,0,0,0,0,0,0
Albert Park,555,209,26,0,247,9,1695,2739
Elwood,460,87,27,0,358,5,2842,3767
Port Melbourne,558,81,20,0,311,4,2331,3311
Port Melbourne Industrial,0,0,0,0,0,0,4,4
South Melbourne,489,178,37,0,196,3,1510,2418
St Kilda,1119,394,53,5,922,6,4000,6499
St Kilda East,642,207,28,0,354,3,2818,4058
Armadale,289,109,29,6,115,7,1161,1707
Prahran - Windsor,718,183,37,0,468,0,3538,4950
South Yarra - East,1023,384,76,13,524,5,3341,5359
Toorak,322,103,27,0,142,0,1263,1850
Abbotsford,377,135,42,4,174,5,1442,2181
Carlton North - Princes Hill,225,51,17,0,101,0,1459,1848
Collingwood,259,145,73,9,242,8,1474,2207
Fitzroy,315,132,74,9,300,7,1650,2482
Fitzroy North,293,59,15,0,212,0,2176,2758
Richmond (Vic.),926,345,194,28,602,11,5451,7565
Yarra - North,187,47,11,0,131,0,1346,1723
Ashburton (Vic.),195,79,28,3,35,0,635,967
Balwyn,522,289,139,15,63,0,766,1804
Balwyn North,679,289,126,11,81,4,902,2096
Camberwell,546,226,68,5,90,6,1579,2515
Glen Iris - East,370,130,30,0,72,3,1388,1994
Hawthorn,858,431,112,9,277,6,2833,4532
Hawthorn East,563,278,60,10,166,8,1735,2813
Kew,672,299,99,8,189,4,2057,3334
Kew East,158,82,14,4,41,0,510,809
Surrey Hills (West) - Canterbury,332,158,55,6,58,3,1125,1734
Bulleen,437,177,33,0,56,5,592,1313
Doncaster,974,664,207,17,97,16,823,2804
Templestowe,653,254,77,7,63,3,784,1838
Templestowe Lower,601,192,50,6,46,6,728,1619
Doncaster East (North),599,317,91,11,41,4,607,1669
Doncaster East (South),690,473,126,13,58,5,675,2040
Blackburn,658,427,123,12,84,6,1627,2932
Blackburn South,328,182,41,0,48,0,756,1365
Box Hill,848,825,329,46,148,7,1033,3238
Box Hill North,672,453,152,18,74,4,1092,2466
Burwood,468,380,88,8,68,0,598,1622
Burwood East,453,312,77,9,27,4,444,1319
Surrey Hills (East) - Mont Albert,282,129,37,4,51,0,779,1292
Beaumaris,138,29,4,0,50,0,990,1218
Brighton (Vic.),379,97,56,4,134,0,1804,2473
Brighton East,311,78,28,6,64,0,1165,1657
Cheltenham - Highett (West),242,74,10,5,68,4,1219,1621
Hampton,307,84,26,3,119,0,1626,2164
Sandringham - Black Rock,240,45,10,0,95,0,1425,1817
Bentleigh - McKinnon,667,329,115,11,124,4,1654,2903
Carnegie,1003,577,111,5,161,8,1539,3404
Caulfield - North,650,236,34,3,185,5,2119,3234
Caulfield - South,544,128,41,0,111,6,1535,2368
Elsternwick,345,100,21,0,97,4,1344,1910
Hughesdale,421,185,36,6,44,5,555,1251
Murrumbeena,416,207,28,3,59,4,813,1524
Ormond - Glen Huntly,774,422,61,3,106,10,1020,2390
Bentleigh East (North),638,207,53,4,71,0,1079,2058
Bentleigh East (South),483,136,25,3,75,3,1113,1844
Aspendale Gardens - Waterways,286,101,15,0,39,0,673,1113
Braeside,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,186,52,16,0,75,0,1197,1532
Chelsea - Bonbeach,299,83,20,0,144,3,1798,2356
Chelsea Heights,95,28,9,0,22,0,577,728
Cheltenham - Highett (East),739,271,53,5,141,9,2149,3361
Edithvale - Aspendale,201,48,13,0,100,0,1461,1820
Mentone,348,109,21,0,70,3,1348,1902
Moorabbin - Heatherton,320,113,26,0,65,3,757,1282
Moorabbin Airport,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,376,102,26,4,123,6,2191,2828
Malvern - Glen Iris,599,245,48,0,176,3,2103,3171
Malvern East,616,363,46,0,126,4,1692,2857
Bundoora - East,308,194,54,7,46,3,678,1302
Greensborough,383,109,30,3,85,0,2179,2782
Heidelberg - Rosanna,426,154,34,7,101,3,1510,2235
Heidelberg West,528,240,86,4,181,6,1255,2297
Ivanhoe,376,110,23,0,66,4,1073,1651
Ivanhoe East - Eaglemont,173,28,18,0,26,0,546,797
Montmorency - Briar Hill,228,63,16,4,72,6,1835,2224
Viewbank - Yallambie,466,178,50,0,58,4,1742,2509
Watsonia,214,69,16,4,40,4,1016,1359
Kingsbury,468,343,106,15,118,5,551,1601
Reservoir - East,1333,676,224,29,289,23,2068,4644
Reservoir - West,1079,523,167,25,204,16,1815,3827
Preston - East,831,373,138,22,286,8,2097,3753
Preston - West,492,167,51,7,107,12,1278,2107
Eltham,284,72,12,0,82,0,2191,2644
Hurstbridge,15,0,0,0,17,0,393,430
Kinglake,14,4,5,0,47,0,422,493
Panton Hill - St Andrews,19,6,0,0,35,0,420,476
Plenty - Yarrambat,175,40,14,0,32,0,833,1098
Research - North Warrandyte,67,3,0,0,29,0,597,699
Wattle Glen - Diamond Creek,140,25,3,0,46,0,1501,1719
Bundoora - North,435,200,53,6,48,0,428,1173
Bundoora - West,263,148,48,0,33,0,334,839
Lalor,1285,661,298,33,159,14,923,3378
Mill Park - North,825,245,75,5,91,10,1107,2354
Mill Park - South,481,204,67,6,80,0,818,1656
Thomastown,1094,527,279,26,101,18,732,2779
Wallan,245,72,12,0,188,0,1948,2472
Whittlesea,67,9,3,0,54,0,848,979
Doreen,468,122,22,0,128,5,3167,3917
Epping - East,677,242,88,7,90,14,835,1954
Epping - South,419,221,72,8,78,11,481,1294
Epping - West,1005,384,87,10,106,13,644,2259
Mernda,899,281,49,8,203,11,1960,3405
South Morang (North),739,199,41,6,63,3,1132,2182
South Morang (South),530,172,37,8,49,7,1008,1813
Wollert,912,314,60,3,119,12,603,2025
Airport West,212,72,13,0,63,7,836,1206
Essendon Airport,0,0,0,0,0,0,0,0
Keilor,193,33,14,0,34,0,671,941
Keilor East,1019,247,78,15,135,12,1825,3329
Niddrie - Essendon West,199,37,3,0,42,0,714,1000
Strathmore,211,40,12,0,38,0,819,1126
Gisborne,72,20,8,0,71,0,1444,1615
Macedon,20,5,0,0,22,0,306,357
Riddells Creek,22,0,0,0,18,0,428,471
Romsey,43,12,0,0,69,0,959,1077
Coburg North,327,75,25,8,88,7,768,1291
Fawkner,702,374,120,22,121,17,584,1944
Pascoe Vale,1111,386,90,10,247,15,2301,4157
Glenroy,1326,650,190,21,197,25,1343,3750
Gowanbrae,112,17,8,0,22,6,315,478
Hadfield,257,74,25,4,36,0,393,783
Sunbury,138,28,15,3,73,0,1338,1596
Sunbury - South,290,77,17,3,162,0,3218,3779
Broadmeadows,612,404,186,44,178,15,469,1909
Campbellfield - Coolaroo,821,402,274,58,122,18,372,2061
Gladstone Park - Westmeadows,559,135,42,4,108,4,1408,2265
Greenvale - Bulla,756,190,64,9,89,4,1084,2192
Meadow Heights,774,393,319,51,126,21,377,2048
Melbourne Airport,0,0,0,0,8,0,8,24
Roxburgh Park - Somerton,1220,676,389,65,142,21,655,3167
Tullamarine,225,83,18,3,64,4,634,1034
Craigieburn - Central,331,195,55,13,72,3,587,1255
Craigieburn - North,811,323,77,7,89,3,795,2108
Craigieburn - South,945,449,146,26,103,10,1005,2687
Craigieburn - West,1327,591,157,21,102,13,845,3057
Mickleham - Yuroke,183,69,7,0,27,3,317,607
Bayswater,353,223,62,4,83,0,1134,1869
Knoxfield - Scoresby,513,302,67,3,71,0,1130,2085
Lysterfield,106,28,16,0,30,0,579,757
Rowville - Central,480,208,71,4,53,4,1233,2048
Rowville - North,243,86,28,3,28,0,651,1043
Rowville - South,333,117,32,0,31,0,821,1327
Wantirna,457,258,76,10,56,0,976,1834
Wantirna South,592,340,116,8,36,0,984,2083
Boronia,452,248,72,8,167,4,2384,3331
Ferntree Gully (North),278,135,22,0,83,5,1452,1973
Ferntree Gully (South) - Upper Ferntree Gully,269,104,26,3,72,0,1567,2038
The Basin,35,11,4,0,27,0,512,589
Donvale - Park Orchards,416,154,46,7,55,0,1028,1704
Warrandyte - Wonga Park,81,10,3,0,27,0,807,928
Bayswater North,196,93,36,0,94,0,1302,1718
Croydon Hills - Warranwood,196,82,17,5,56,0,1777,2129
Ringwood,525,411,142,31,104,3,1624,2842
Ringwood East,404,251,110,20,90,3,2042,2918
Ringwood North,151,81,18,4,36,0,866,1159
Croydon - East,239,133,105,24,137,8,1874,2511
Croydon - West,229,110,69,15,75,3,1307,1812
