SA2,Not a volunteer,Volunteer,Not stated,Total
West Beach,457,155,27,640
Barossa - Angaston,376,263,33,679
Light,678,359,49,1087
Lyndoch,461,219,42,724
Mallala,224,93,24,340
Nuriootpa,496,219,32,745
Tanunda,274,180,19,475
Clare,236,218,29,481
Gilbert Valley,257,175,37,468
Goyder,199,155,26,374
Wakefield - Barunga West,506,374,55,936
Jamestown,198,217,29,445
Peterborough - Mount Remarkable,236,179,33,448
Port Pirie,1107,345,94,1547
Port Pirie Region,171,140,15,332
Kadina,338,191,40,578
Moonta,262,98,21,383
Wallaroo,242,91,20,345
Yorke Peninsula - North,276,240,28,547
Yorke Peninsula - South,137,129,20,285
Ceduna,182,119,53,352
Eyre Peninsula,289,325,54,669
Kimba - Cleve - Franklin Harbour,134,267,47,445
Le Hunte - Elliston,76,142,16,237
Port Lincoln,1197,579,139,1916
West Coast (SA),162,159,59,385
Western,0,0,6,10
Whyalla,1811,702,169,2684
Whyalla - North,0,0,0,0
APY Lands,279,44,58,379
Coober Pedy,124,43,37,204
Quorn - Lake Gilles,102,72,16,186
Outback,155,72,50,277
Port Augusta,1112,339,150,1603
Roxby Downs,395,211,46,648
Goolwa - Port Elliot,524,253,53,833
Kangaroo Island,216,223,41,475
Strathalbyn,485,254,53,792
Strathalbyn Region,472,241,57,771
Victor Harbor,756,319,53,1129
Yankalilla,294,163,30,483
Grant,357,175,32,565
Kingston - Robe,200,139,19,358
Millicent,296,181,30,507
Naracoorte,427,287,38,748
Naracoorte Region,84,131,12,226
Penola,208,127,17,349
Tatiara,368,316,49,737
Wattle Range,187,124,20,323
Mount Gambier - East,1253,453,95,1798
Mount Gambier - West,1160,403,86,1648
Barmera,404,190,34,632
Berri,329,129,38,498
Karoonda - Lameroo,127,142,26,299
Loxton,323,220,23,568
Loxton Region,79,74,8,162
Mannum,310,175,40,518
Murray Bridge,1458,444,127,2023
Murray Bridge Region,211,136,23,372
Renmark,370,121,48,534
Renmark Region,357,157,39,553
The Coorong,270,231,48,549
Waikerie,350,206,39,596
Migratory - Offshore - Shipping (SA),0,0,0,0
No Usual Address (SA),218,58,78,353
Augusta,388,193,51,635
Busselton,2081,844,183,3110
Busselton Region,926,407,115,1455
Margaret River,979,386,112,1483
Australind - Leschenault,1722,586,146,2449
Capel,398,197,33,633
College Grove - Carey Park,623,163,74,854
Collie,650,282,87,1015
Dardanup,176,125,22,324
Davenport,0,0,0,0
Eaton - Pelican Point,1159,360,89,1604
Harvey,634,289,79,1005
East Bunbury - Glen Iris,670,190,55,918
Waroona,254,140,42,436
Dalyellup,1006,324,81,1410
Gelorup - Stratham,173,103,8,286
South Bunbury - Bunbury,1029,366,115,1502
Withers - Usher,486,157,74,713
Bridgetown - Boyup Brook,299,275,31,612
Donnybrook - Balingup,363,204,56,617
Manjimup,345,221,47,616
Pemberton,231,169,46,441
Dawesville - Bouvard,629,165,61,855
Falcon - Wannanup,696,212,61,961
Greenfields,815,206,76,1095
Halls Head - Erskine,1485,411,110,2005
Mandurah,722,189,89,1001
Mandurah - East,384,133,32,554
Mandurah - North,1913,534,136,2583
Mandurah - South,736,173,68,978
Pinjarra,738,304,94,1137
City Beach,297,179,29,498
Claremont (WA),608,247,87,943
Cottesloe,557,288,66,913
Floreat,530,309,24,867
Mosman Park - Peppermint Grove,861,365,134,1357
Nedlands - Dalkeith - Crawley,1246,637,102,1991
Swanbourne - Mount Claremont,516,295,52,866
Kings Park (WA),0,0,0,5
Mount Hawthorn - Leederville,1393,511,109,2016
Mount Lawley - Inglewood,1882,651,244,2772
North Perth,1037,396,104,1538
Perth City,5128,1424,1191,7740
Subiaco - Shenton Park,1647,739,216,2603
Wembley - West Leederville - Glendalough,2352,743,282,3373
Bassendean - Eden Hill - Ashfield,1680,498,121,2299
Bayswater - Embleton - Bedford,2767,804,213,3783
Maylands,2002,562,226,2789
Morley,2592,527,178,3298
Noranda,678,191,39,901
Chidlow,186,110,32,330
Glen Forrest - Darlington,426,261,32,724
Helena Valley - Koongamia,500,168,33,701
Malmalling - Reservoir,0,0,0,0
Mundaring,882,442,79,1403
Swan View - Greenmount - Midvale,1101,288,73,1463
Avon Valley National Park,0,0,0,0
Ballajura,1905,381,103,2391
Beechboro,2233,402,462,3092
Bullsbrook,474,145,78,699
Ellenbrook,5082,1085,385,6554
Gidgegannup,177,98,27,302
Hazelmere - Guildford,499,114,41,647
Lockridge - Kiara,1346,316,121,1772
Malaga,0,0,0,0
Melaleuca - Lexia,0,0,0,0
Middle Swan - Herne Hill,490,120,54,665
Midland - Guildford,1111,267,168,1545
Stratton - Jane Brook,772,191,50,1011
The Vines,1073,302,74,1449
Walyunga National Park,0,0,0,0
Craigie - Beldon,1215,356,87,1652
Currambine - Kinross,1389,350,64,1805
Duncraig,1225,485,45,1760
Greenwood - Warwick,1289,453,72,1819
Heathridge - Connolly,1080,323,67,1473
Hillarys,816,309,37,1157
Iluka - Burns Beach,752,231,23,1000
Joondalup - Edgewater,1421,384,86,1894
Kingsley,1052,397,62,1509
Mullaloo - Kallaroo,892,356,75,1324
Ocean Reef,547,202,31,781
Padbury,910,269,47,1224
Sorrento - Marmion,603,286,37,927
Woodvale,673,234,22,928
Balcatta - Hamersley,1808,423,147,2378
Balga - Mirrabooka,2540,420,288,3243
Dianella,2412,604,161,3176
Herdsman,0,0,0,0
Innaloo - Doubleview,2352,672,256,3288
Karrinyup - Gwelup - Carine,1743,698,108,2549
Nollamara - Westminster,2901,548,298,3750
Osborne Park Industrial,0,0,0,0
Scarborough,2428,606,274,3310
Stirling - Osborne Park,1708,419,127,2248
Trigg - North Beach - Watermans Bay,658,241,47,948
Tuart Hill - Joondanna,1899,505,177,2584
Wembley Downs - Churchlands - Woodlands,1143,503,62,1707
Yokine - Coolbinia - Menora,1764,513,182,2462
Alexander Heights - Koondoola,1226,241,97,1567
Butler - Merriwa - Ridgewood,2844,624,339,3799
Carramar,2360,498,166,3019
Clarkson,1813,345,155,2318
Girrawheen,990,178,85,1251
Madeley - Darch - Landsdale,3266,829,159,4251
Marangaroo,1137,244,72,1457
Mindarie - Quinns Rocks - Jindalee,1734,477,126,2336
Neerabup National Park,0,0,0,0
Tapping - Ashby - Sinagra,1617,386,92,2098
Wanneroo,3065,717,163,3945
Alkimos - Eglinton,1321,225,134,1677
Carabooda - Pinjar,53,15,13,86
Two Rocks,265,94,40,402
Yanchep,1001,251,117,1369
Armadale - Wungong - Brookdale,2033,483,241,2745
Ashendon - Lesley,0,5,0,0
Camillo - Champion Lakes,578,121,39,738
Forrestdale - Harrisdale - Piara Waters,3339,719,137,4193
Kelmscott,1003,289,109,1401
Mount Nasura - Mount Richon - Bedfordale,594,233,52,881
Roleystone,564,223,48,841
Seville Grove,1379,298,102,1778
Belmont - Ascot - Redcliffe,1738,372,223,2337
East Victoria Park - Carlisle,2310,659,281,3252
Kewdale Commercial,0,0,0,0
Perth Airport,0,0,8,8
Rivervale - Kewdale - Cloverdale,3293,731,484,4502
Victoria Park - Lathlain - Burswood,2039,546,258,2846
Bentley - Wilson - St James,2205,584,309,3097
Canning Vale - West,938,282,32,1260
Canning Vale Commercial,0,0,0,0
Cannington - Queens Park,2770,497,263,3532
Parkwood - Ferndale - Lynwood,1464,447,82,1990
Riverton - Shelley - Rossmoyne,1078,405,43,1527
Welshpool,0,0,0,0
Willetton,1554,624,56,2240
Beckenham - Kenwick - Langford,2395,458,188,3038
Canning Vale - East,2809,633,124,3572
Gosnells,2244,467,252,2964
Huntingdale - Southern River,2495,584,143,3216
Maddington - Orange Grove - Martin,1480,286,124,1889
Thornlie,2487,599,158,3246
Forrestfield - Wattle Grove,2265,546,151,2956
High Wycombe,1352,353,129,1838
Kalamunda - Maida Vale - Gooseberry Hill,1037,430,79,1544
Lesmurdie - Bickley - Carmel,710,361,48,1118
Byford,2250,493,166,2906
Mundijong,494,211,40,735
Serpentine - Jarrahdale,282,126,41,451
Como,1649,588,168,2409
Manning - Waterford,903,347,67,1316
South Perth - Kensington,1650,627,213,2485
Banjup,2417,618,106,3148
Bibra Industrial,0,0,0,0
Bibra Lake,0,0,0,0
Coogee,886,218,48,1154
Coolbellup,898,223,90,1208
Hamilton Hill,1070,346,154,1569
Henderson,0,0,0,0
North Coogee,281,63,48,390
South Lake - Cockburn Central,1262,344,98,1710
Spearwood,1061,221,99,1387
Success - Hammond Park,2331,510,192,3025
Yangebup,881,227,80,1189
Beeliar - Wattleup,1120,245,79,1443
Jandakot,181,83,14,271
East Fremantle,593,236,45,874
Fremantle,1556,539,289,2386
Fremantle - South,1400,505,147,2055
O'Connor (WA),0,0,0,0
Bertram - Wellard (West),2299,472,176,2946
Calista,784,195,96,1072
Hope Valley - Postans,0,0,0,0
Kwinana Industrial,0,0,0,4
Parmelia - Orelia,1185,248,149,1586
Casuarina - Wandi,706,169,60,937
Applecross - Ardross,944,334,65,1346
Bateman,312,104,19,434
Bicton - Palmyra,1419,466,104,1993
Booragoon,1224,460,102,1791
Bull Creek,600,231,31,859
Leeming,855,348,37,1239
Melville,1394,510,84,1988
Murdoch - Kardinya,1043,309,55,1404
Willagee,540,156,53,751
Winthrop,422,162,15,605
Baldivis,4448,1013,444,5904
Cooloongup,767,182,86,1035
Port Kennedy,1457,384,133,1968
Rockingham,1275,280,153,1711
Rockingham Lakes,0,0,0,0
Safety Bay - Shoalwater,915,297,79,1294
Singleton - Golden Bay - Secret Harbour,2305,605,155,3054
Waikiki,1237,306,103,1651
Warnbro,1098,234,116,1450
Albany,1033,436,97,1561
Albany Region,182,122,27,333
Bayonet Head - Lower King,366,158,35,558
Denmark,317,194,63,571
Gnowangerup,120,210,43,369
Katanning,317,183,78,578
Kojonup,207,221,62,491
Little Grove - Elleker,180,120,13,304
McKail - Willyung,913,330,75,1319
Plantagenet,263,198,35,496
Stirling Range National Park,0,0,0,0
Chittering,366,182,58,613
Cunderdin,201,188,45,434
Dowerin,179,244,33,456
Gingin - Dandaragan,532,292,77,907
Merredin,287,254,47,580
Moora,276,245,50,577
Mukinbudin,156,168,41,364
Northam,765,356,121,1240
Toodyay,212,123,39,371
York - Beverley,261,167,51,483
Brookton,154,174,45,377
Kulin,181,307,43,531
Murray,161,125,23,311
Narrogin,300,180,41,522
Wagin,226,245,61,529
Broome,1571,639,344,2555
Derby - West Kimberley,821,237,174,1235
Halls Creek,356,59,136,553
Kununurra,746,309,168,1219
Roebuck,229,56,36,321
East Pilbara,502,79,170,746
Newman,416,265,113,798
Port Hedland,506,230,110,841
South Hedland,1113,344,278,1739
Ashburton (WA),943,420,203,1563
Karratha,1872,792,343,3005
Roebourne,438,266,74,782
Esperance,774,515,154,1449
Esperance Region,198,208,76,485
Carnarvon,406,159,120,680
Exmouth,364,245,83,684
Boulder,704,198,143,1043
Kalgoorlie,1510,497,222,2225
Kalgoorlie - North,989,402,122,1507
Kalgoorlie Airport,0,0,0,0
Kambalda - Coolgardie - Norseman,401,127,87,614
Leinster - Leonora,402,112,150,664
Trafalgar (WA),0,0,0,0
Geraldton,885,282,131,1302
Geraldton - East,630,242,146,1013
Geraldton - North,691,277,77,1053
Geraldton - South,984,356,84,1429
Irwin,204,126,29,360
Meekatharra,221,70,94,379
Morawa,183,210,39,429
Northampton - Mullewa - Greenough,292,233,68,596
Migratory - Offshore - Shipping (WA),8,3,3,14
No Usual Address (WA),460,131,246,838
Bridgewater - Gagebrook,746,132,114,987
Brighton - Pontville,627,125,37,785
Old Beach - Otago,452,111,21,584
Bellerive - Rosny,465,167,27,664
Cambridge,599,230,17,849
Geilston Bay - Risdon,321,104,6,428
Howrah - Tranmere,867,351,41,1263
Lindisfarne - Rose Bay,593,190,29,808
Mornington - Warrane,533,113,33,679
Risdon Vale,265,50,63,377
Rokeby,745,164,57,957
South Arm,347,119,13,482
Austins Ferry - Granton,405,98,19,524
Berriedale - Chigwell,528,124,46,694
Claremont (Tas.),807,137,44,991
Derwent Park - Lutana,430,112,33,580
Glenorchy,1083,238,85,1404
Montrose - Rosetta,438,116,37,586
Moonah,534,159,57,755
New Norfolk,566,154,46,774
West Moonah,437,108,37,578
Kingston - Huntingfield,1104,398,67,1566
Kingston Beach - Blackmans Bay,815,356,43,1214
Margate - Snug,671,302,34,1010
Mount Wellington,0,0,0,0
Taroona - Bonnet Hill,195,134,18,351
Hobart,827,303,125,1253
Lenah Valley - Mount Stuart,799,325,61,1180
Mount Nelson - Dynnyrne,393,171,25,593
New Town,559,229,54,837
Sandy Bay,1028,395,87,1515
South Hobart - Fern Tree,530,267,45,850
West Hobart,591,273,50,915
Dodges Ferry - Lewisham,615,198,65,884
Sorell - Richmond,723,229,57,1015
Invermay,282,77,34,394
Kings Meadows - Punchbowl,426,96,50,568
Launceston,401,179,58,637
Legana,302,127,15,446
Mowbray,361,85,33,479
Newnham - Mayfield,879,177,89,1148
Newstead,429,157,34,619
Norwood (Tas.),298,104,19,417
Prospect Vale - Blackstone,537,171,39,748
Ravenswood,318,73,48,447
Riverside,511,209,36,756
South Launceston,485,136,41,662
Summerhill - Prospect,451,129,35,617
Trevallyn,369,177,25,574
Waverley - St Leonards,327,113,31,463
West Launceston,406,138,28,568
Youngtown - Relbia,397,125,33,557
Beauty Point - Beaconsfield,221,58,23,301
Deloraine,346,186,48,586
Grindelwald - Lanena,331,181,35,545
Hadspen - Carrick,298,94,18,406
Westbury,252,124,20,399
Dilston - Lilydale,287,103,31,420
George Town,492,148,65,706
Longford,276,91,29,398
Northern Midlands,268,98,46,406
Perth - Evandale,393,131,38,563
St Helens - Scamander,330,135,34,499
Flinders and Cape Barren Islands,36,39,3,83
Scottsdale - Bridport,397,206,52,656
Central Highlands,130,62,10,200
Derwent Valley,243,62,25,322
Southern Midlands,436,150,47,634
Wilderness - East,0,0,0,5
Bruny Island - Kettering,157,84,23,255
Cygnet,267,103,34,411
Geeveston - Dover,221,96,32,345
Huonville - Franklin,658,251,62,977
Forestier - Tasman,121,44,18,185
Triabunna - Bicheno,226,117,27,374
Acton - Upper Burnie,295,78,25,402
Burnie - Ulverstone Region,334,153,32,516
Burnie - Wivenhoe,325,97,30,455
Parklands - Camdale,522,167,37,726
Penguin - Sulphur Creek,365,153,37,557
Romaine - Havenview,304,103,17,422
Somerset,294,105,22,421
Ulverstone,508,172,33,714
West Ulverstone,291,89,28,405
Wynyard,434,150,43,623
Devonport,1149,366,74,1584
East Devonport,380,104,28,509
Latrobe,375,133,32,538
Miandetta - Don,341,108,20,464
Port Sorell,341,155,28,522
Quoiba - Spreyton,235,86,15,338
Sheffield - Railton,410,173,40,629
Turners Beach - Forth,213,107,12,333
King Island,95,71,13,181
North West,273,137,41,442
Smithton,255,134,30,420
Waratah,251,89,18,360
West Coast (Tas.),332,126,41,497
Wilderness - West,0,0,0,0
Migratory - Offshore - Shipping (Tas.),3,0,0,3
No Usual Address (Tas.),76,27,15,120
Darwin Airport,0,0,0,3
Darwin City,1039,191,244,1472
East Point,5,0,0,5
Fannie Bay - The Gardens,376,147,52,577
Larrakeyah,475,146,86,713
Ludmilla - The Narrows,283,82,51,420
Parap,355,149,59,562
Stuart Park,614,167,128,904
Woolner - Bayview - Winnellie,353,104,52,513
Alawa,226,79,46,352
Anula,244,76,28,350
Berrimah,104,27,34,161
Brinkin - Nakara,378,136,69,584
Buffalo Creek,0,0,0,0
Charles Darwin,0,0,0,0
Coconut Grove,412,98,79,595
East Arm,4,0,0,4
Jingili,157,82,23,261
Karama,536,156,107,790
Leanyer,516,134,59,708
Lyons (NT),693,211,64,973
Malak - Marrara,459,127,85,671
Millner,319,92,44,456
Moil,201,64,33,297
Nightcliff,492,171,92,755
Rapid Creek,405,158,88,648
Tiwi,277,101,29,410
Wagaman,239,64,43,345
Wanguri,176,63,27,271
Wulagi,267,79,43,389
Howard Springs,274,103,104,493
Humpty Doo,789,326,153,1268
Koolpinyah,3,0,0,3
Virginia,256,116,49,420
Weddell,390,113,91,590
Bakewell,413,128,44,586
Driver,342,85,51,480
Durack - Marlow Lagoon,557,166,65,783
Gray,384,76,84,542
Moulden,323,83,57,456
Palmerston - North,563,161,64,784
Palmerston - South,497,123,51,667
Rosebery - Bellamack,968,251,93,1314
Woodroffe,382,97,70,545
Charles,440,137,114,693
East Side,567,236,124,924
Flynn (NT),470,167,100,737
Larapinta,509,197,78,788
Mount Johns,471,150,128,749
Petermann - Simpson,294,71,82,456
Ross,178,67,38,288
Sandover - Plenty,365,69,95,528
Tanami,361,54,52,467
Yuendumu - Anmatjere,288,19,50,364
Barkly,282,52,49,380
Tennant Creek,287,102,62,446
Alligator,363,132,84,575
Daly,166,35,35,244
Thamarrurr,300,45,106,450
Tiwi Islands,325,34,36,398
West Arnhem,565,83,153,801
Anindilyakwa,276,94,76,444
East Arnhem,846,261,106,1213
Nhulunbuy,241,203,78,524
Elsey,251,31,39,324
Gulf,430,86,74,589
Katherine,899,323,321,1542
Victoria River,226,43,74,349
Migratory - Offshore - Shipping (NT),0,0,0,4
No Usual Address (NT),189,55,172,420
Aranda,180,90,7,279
Belconnen,1096,289,117,1497
Bruce,926,274,61,1261
Charnwood,351,116,31,496
Cook,272,127,17,419
Dunlop,909,280,47,1235
Evatt,513,219,53,781
Florey,482,158,35,669
Flynn (ACT),327,122,12,459
Fraser,170,73,13,254
Giralang,366,126,24,512
Gooromon,0,0,0,0
Hawker,260,80,12,354
Higgins,321,116,22,455
Holt,538,154,42,735
Kaleen,665,256,35,956
Latham,409,143,38,585
Lawson,19,4,0,24
Macgregor (ACT),1039,280,39,1358
Macquarie,299,104,26,424
McKellar,230,70,14,321
Melba,301,123,18,440
Page,301,133,26,458
Scullin,330,104,25,461
Spence,268,100,15,381
Weetangera,185,97,8,284
Molonglo Corridor,0,0,0,0
West Belconnen,0,0,0,0
Hume,0,0,19,20
Kowen,3,0,0,6
Canberra East,49,11,15,74
Canberra Airport,17,0,0,20
Majura,9,6,3,16
Amaroo,657,240,26,919
Bonner,1137,282,72,1493
Casey,1127,221,67,1413
Crace,815,184,50,1050
Forde,629,180,36,843
Franklin,1177,273,63,1512
Gungahlin,919,213,78,1211
Hall,20,4,0,26
Harrison,1233,343,59,1641
Mitchell,0,0,0,0
Ngunnawal,1524,370,100,2000
Nicholls,526,161,43,728
Palmerston,619,193,51,868
Gungahlin - East,0,0,0,0
Gungahlin - West,0,0,0,0
Jacka,142,26,4,175
Kenny,0,0,0,4
Moncrieff,19,0,4,25
Taylor,0,0,0,0
Throsby,0,0,0,0
Acton,112,85,8,205
Ainslie,433,251,32,714
Braddon,862,331,140,1328
Civic,460,131,79,668
Dickson,280,124,29,434
Downer,420,160,34,616
Hackett,248,132,20,398
Lyneham,601,251,85,942
O'Connor (ACT),490,281,49,815
Turner,576,224,85,882
Watson,763,299,61,1125
Black Mountain,0,0,0,0
Campbell,263,121,21,395
Duntroon,106,25,17,153
Parkes (ACT) - North,0,0,0,0
Reid,131,68,26,225
Russell,0,0,0,0
Deakin,196,95,12,303
Forrest,161,56,29,245
Griffith (ACT),518,186,56,762
Lake Burley Griffin,0,0,0,0
Narrabundah,587,231,75,888
Parkes (ACT) - South,0,0,0,0
Red Hill (ACT),212,96,29,334
Yarralumla,177,80,9,269
Barton,212,80,25,316
Fyshwick,3,0,0,3
Kingston (ACT),786,277,88,1150
Banks,633,161,43,841
Bonython,424,101,16,539
Calwell,575,157,43,775
Chisholm,507,140,33,682
Conder,486,133,34,654
Fadden,206,87,7,304
Gilmore,310,82,15,407
Gordon (ACT),786,224,30,1037
Gowrie (ACT),285,88,11,386
Greenway,262,56,25,340
Isabella Plains,486,143,35,666
Kambah,1310,507,111,1929
Macarthur,113,44,7,166
Monash,501,133,25,667
Mount Taylor,0,0,0,0
Oxley (ACT),149,49,8,206
Richardson,365,91,12,468
Theodore,408,116,25,551
Tuggeranong,0,0,0,0
Wanniassa,688,255,41,991
Tuggeranong - West,0,0,0,0
Chapman,159,91,5,254
Duffy,284,130,21,439
Fisher,298,115,27,436
Holder,248,96,18,362
Rivett,339,117,21,477
Stirling,159,76,19,249
Waramanga,254,108,24,377
Weston,306,132,30,459
Scrivener,0,0,0,0
Chifley,288,92,21,402
Curtin,425,185,34,643
Farrer,236,120,10,361
Garran,311,107,30,451
Hughes,208,90,26,325
Isaacs,160,64,3,219
Lyons (ACT),344,106,38,493
Mawson,359,97,33,485
O'Malley,41,27,5,80
Pearce,203,85,11,295
Phillip,587,115,76,778
Torrens,183,82,4,266
Arboretum,0,0,0,0
Coombs,329,77,35,443
Denman Prospect,0,0,0,0
Molonglo,0,0,0,0
Molonglo - North,0,0,0,0
Wright,505,171,62,738
ACT - South West,72,21,6,99
Namadgi,3,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0
No Usual Address (ACT),51,18,8,77
Christmas Island,111,62,29,208
Cocos (Keeling) Islands,37,24,10,72
Jervis Bay,33,9,11,56
Norfolk Island,108,73,8,189
Migratory - Offshore - Shipping (OT),0,0,0,0
No Usual Address (OT),3,0,0,8
Total,2388900,687129,222621,3298649